day,server_name,key,total_count,number_of_player,proportion
3,9,BlockBreak,38212,320,119.4125
3,9,BlockPlace,22610,320,70.65625
3,9,Chat,229,320,0.715625
3,9,CraftedItems,2185,320,6.828125
3,9,Death,244,320,0.7625
3,9,Kicks,28,320,0.0875
3,9,KilledBy,122,320,0.38125
3,9,Logins,626,320,1.95625
3,10,BlockBreak,146886,210,699.4571428571429
3,10,BlockPlace,64558,210,307.4190476190476
3,10,Chat,85,210,0.40476190476190477
3,10,CraftedItems,1329,210,6.328571428571428
3,10,Death,201,210,0.9571428571428572
3,10,Kicks,61,210,0.2904761904761905
3,10,KilledBy,69,210,0.32857142857142857
3,10,Logins,517,210,2.461904761904762
3,11,BlockBreak,49386,568,86.94718309859155
3,11,BlockPlace,29967,568,52.75880281690141
3,11,Chat,20,568,0.035211267605633804
3,11,CraftedItems,1974,568,3.4753521126760565
3,11,Death,1268,568,2.232394366197183
3,11,Kicks,64,568,0.11267605633802817
3,11,KilledBy,779,568,1.3714788732394365
3,11,Logins,1531,568,2.6954225352112675
3,12,BlockBreak,163916,764,214.5497382198953
3,12,BlockPlace,57216,764,74.89005235602095
3,12,Chat,1635,764,2.1400523560209423
3,12,CraftedItems,2994,764,3.918848167539267
3,12,Death,3536,764,4.628272251308901
3,12,Kicks,83,764,0.10863874345549739
3,12,KilledBy,2665,764,3.488219895287958
3,12,Logins,1982,764,2.594240837696335
3,13,BlockBreak,427043,2124,201.0560263653484
3,13,BlockPlace,242251,2124,114.05414312617702
3,13,Chat,3724,2124,1.753295668549906
3,13,CraftedItems,16751,2124,7.88653483992467
3,13,Death,1776,2124,0.8361581920903954
3,13,Kicks,154,2124,0.07250470809792843
3,13,KilledBy,763,2124,0.3592278719397363
3,13,Logins,5997,2124,2.823446327683616
3,14,BlockBreak,42537,247,172.21457489878543
3,14,BlockPlace,16459,247,66.63562753036437
3,14,Chat,86,247,0.3481781376518219
3,14,CraftedItems,1772,247,7.174089068825911
3,14,Death,261,247,1.05668016194332
3,14,Kicks,17,247,0.06882591093117409
3,14,KilledBy,127,247,0.5141700404858299
3,14,Logins,659,247,2.668016194331984
4,1,BlockBreak,154464,863,178.98493626882967
4,1,BlockPlace,78579,863,91.05330243337195
4,1,Chat,4540,863,5.26071842410197
4,1,Death,7884,863,9.135573580533025
4,1,Kicks,85,863,0.0984936268829664
4,1,KilledBy,6211,863,7.196987253765933
4,1,Logins,3297,863,3.8203939745075317
4,2,BlockBreak,811245,650,1248.0692307692307
4,2,BlockPlace,300931,650,462.97076923076924
4,2,Chat,386,650,0.5938461538461538
4,2,CraftedItems,94,650,0.14461538461538462
4,2,Kicks,70,650,0.1076923076923077
4,2,Logins,1348,650,2.0738461538461537
4,3,BlockBreak,260804,864,301.85648148148147
4,3,BlockPlace,388593,864,449.7604166666667
4,3,Chat,978,864,1.1319444444444444
4,3,Death,461,864,0.5335648148148148
4,3,Kicks,101,864,0.11689814814814815
4,3,KilledBy,222,864,0.2569444444444444
4,3,Logins,3021,864,3.4965277777777777
4,4,BlockBreak,33203,228,145.62719298245614
4,4,BlockPlace,18924,228,83.0
4,4,Chat,86,228,0.37719298245614036
4,4,Death,121,228,0.5307017543859649
4,4,Kicks,17,228,0.07456140350877193
4,4,KilledBy,46,228,0.20175438596491227
